first_authors;master_study_number;study_number;study_area;ID;study_title;study_date;incidence_YN;denominator;incidence_definition;incidence_diagnostics;case_numbers_vivax;case_numbers_falciparum;case_numbers_mixed;incidence_rate_vivax;incidence_rate_vivax_loCI;incidence_rate_vivax_upCI;incidence_rate_falciparum;incidence_rate_falciparum_loCI;incidence_rate_falciparum_upCI;incidence_rate_mixed;incidence_rate_mixed_loCI;incidence_rate_mixed_upCI;incidence_rate_all;incidence_rate_all_loCI;incidence_rate_all_upCI;mixed_what_done;unit_incidence_rate;date_start_incidence;sample_size_incidence_number_people;date_end_incidence;comments_incidence;prevalence_YN;prevalence_vivax_LM;prevalence_vivax_LM_loCI;prevalence_vivax_LM_upCI;prevalence_falciparum_LM;prevalence_falciparum_LM_loCI;prevalence_falciparum_LM_upCI;prevalence_mixed_LM;prevalence_mixed_LM_loCI;prevalence_mixed_LM_upCI;prevalence_total_LM;prevalence_total_LM_loCI;prevalence_total_LM_upCI;prevalence_vivax_PCR;prevalence_vivax_PCR_loCI;prevalence_vivax_PCR_upCI;prevalence_falciparum_PCR;prevalence_falciparum_PCR_loCI;prevalence_falciparum_PCR_upCI;prevalence_mixed_PCR;prevalence_mixed_PCR_loCI;prevalence_mixed_PCR_upCI;prevalence_total_PCR;prevalence_total_PCR_loCI;prevalence_total_PCR_upCI;prevalence_vivax_RDT;prevalence_vivax_RDT_loCI;prevalence_vivax_RDT_upCI;prevalence_falciparum_RDT;prevalence_falciparum_RDt_loCI;prevalence_falciparum_RDT_upCI;prevalence_mixed_RDT;prevalence_mixed_RDT_loCI;prevalence_mixed_RDT_upCI;prevalence_total_RDT;prevalence_total_RDT_loCI;prevalence_total_RDT_upCI;pr_numb_vivax_LM;pr_numb_falciparum_LM;pr_numb_mixed_LM;pr_numb_total_LM;pr_numb_vivax_PCR;pr_numb_falciparum_PCR;pr_numb_mixed_PCR;pr_numb_total_PCR;pr_what_done_mixed;prevalence_PCR_diagnostic_method;date_start_prevalence;date_end_prevalence;sample_size_prevalence;comments_prevalence;intervention_YN;mode_control;Intervention1;Intervention2;Intervention3;Intervention5;Intervention6;Intervention4;Intervention7;Intervention8;Intervention9;coverage1;coverage2;coverage3;coverage4;coverage6;coverage5;coverage7;coverage8;coverage9;implementation1_start;implementation1_end;implementation2_start;implementation2_end;implementation3_start;implementation3_end;implementation4_start;implementation4_end;implementation5_start;implementation6_start;implementation6_end;implementation5_end;implementation7_start;implementation7_end;implementation8_start;implementation8_end;implementation9_start;implementation9_end;implementation_dates_exact;implementation_dates_exact_comment;baselin_intervention;standard_of_care;relapse_pattern_mean_number;relapse_pattern_white;relapse_pattern_zone;relapse_pattern_mean_days;seasonality;season_survey_incidence;season_survey_prevalence;transmission;age_incidence;age_prevalence;cluster_trial_concern;cluster_trial_addressed;numb_cluster;data_available;comments;latitude;longitude;study_type;transmission_vivax;transmission_falciparum;trans_viv_int1;trans_viv_int2;trans_viv_int3;trans_viv_int4;trans_falc_int1;trans_falc_int2;trans_falc_int3;trans_falc_int4
Sena, Lelisa D.;46;78;Ethiopia, gilgel gibe hydroelectric dam;946;Analysis of trend of malaria prevalence in south-west Ethiopia: a retrospective comparative study;2014;WAHR;WAHR;cases reported at local primary health care units;missing;679;725;;;;;;;;;;;;;;doesn't say;;01.01.2004;around 50000 residents;31.12.2004;web plot digitizer, have a lake there because of dam;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;increased case management: health posts with health extension workers, village level;LLIN distribution (first);LLIN 2nd round(replacing of old nets);;;;;;;missing;missing;missing;;;;;;;01.01.2005;01.01.2005;01.01.2005;31.12.2005;01.01.2009;31.12.2009;;;;;;;;;;;;;FALSCH;;did IRS with a change in 2010 to deltamethrin or bendiocarb;Pv: Chloroquine, Pf: SP and in 2004 shift to AL;;long;7;;0.6;both;NA;estimats from figure 3: indec 203 quick peak at below 2 then below 1 and a peak below 3 in dec 2008 and peak below 4 in dec 2009. but is for both species;all ages;NA;yes, several villages;no or not mentioned;11;FALSCH;none found;7.793452;37.255541;observational;2.449;14.06;low;low;low;;low;low;low;
Sena, Lelisa D.;46;78;Ethiopia, gilgel gibe hydroelectric dam;947;Analysis of trend of malaria prevalence in south-west Ethiopia: a retrospective comparative study;2014;WAHR;WAHR;cases reported at local primary health care units;missing;215;490;;;;;;;;;;;;;;doesn't say;;01.01.2005;around 50000 residents;31.12.2005;web plot digitizer, have a lake there because of dam;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;increased case management: health posts with health extension workers, village level;LLIN distribution (first);LLIN 2nd round(replacing of old nets);;;;;;;missing;missing;missing;;;;;;;01.01.2005;01.01.2005;01.01.2005;31.12.2005;01.01.2009;31.12.2009;;;;;;;;;;;;;FALSCH;;did IRS with a change in 2010 to deltamethrin or bendiocarb;Pv: Chloroquine, Pf: SP and in 2004 shift to AL;;long;7;;0.6;both;NA;estimats from figure 3: indec 203 quick peak at below 2 then below 1 and a peak below 3 in dec 2008 and peak below 4 in dec 2009. but is for both species;all ages;NA;yes, several villages;no or not mentioned;11;FALSCH;none found;7.793452;37.255541;observational;2.114;11.676;low;low;low;;low;low;low;
Sena, Lelisa D.;46;78;Ethiopia, gilgel gibe hydroelectric dam;948;Analysis of trend of malaria prevalence in south-west Ethiopia: a retrospective comparative study;2014;WAHR;WAHR;cases reported at local primary health care units;missing;485;622;;;;;;;;;;;;;;doesn't say;;01.01.2006;around 50000 residents;31.12.2006;web plot digitizer, have a lake there because of dam;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;increased case management: health posts with health extension workers, village level;LLIN distribution (first);LLIN 2nd round(replacing of old nets);;;;;;;missing;missing;missing;;;;;;;01.01.2005;01.01.2005;01.01.2005;31.12.2005;01.01.2009;31.12.2009;;;;;;;;;;;;;FALSCH;;did IRS with a change in 2010 to deltamethrin or bendiocarb;Pv: Chloroquine, Pf: SP and in 2004 shift to AL;;long;7;;0.6;both;NA;estimats from figure 3: indec 203 quick peak at below 2 then below 1 and a peak below 3 in dec 2008 and peak below 4 in dec 2009. but is for both species;all ages;NA;yes, several villages;no or not mentioned;11;FALSCH;none found;7.793452;37.255541;observational;2.152;10.277;low;low;low;;low;low;low;
Sena, Lelisa D.;46;78;Ethiopia, gilgel gibe hydroelectric dam;949;Analysis of trend of malaria prevalence in south-west Ethiopia: a retrospective comparative study;2014;WAHR;WAHR;cases reported at local primary health care units;missing;1763;2314;;;;;;;;;;;;;;doesn't say;;01.01.2007;around 50000 residents;31.12.2007;web plot digitizer, have a lake there because of dam;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;increased case management: health posts with health extension workers, village level;LLIN distribution (first);LLIN 2nd round(replacing of old nets);;;;;;;missing;missing;missing;;;;;;;01.01.2005;01.01.2005;01.01.2005;31.12.2005;01.01.2009;31.12.2009;;;;;;;;;;;;;FALSCH;;did IRS with a change in 2010 to deltamethrin or bendiocarb;Pv: Chloroquine, Pf: SP and in 2004 shift to AL;;long;7;;0.6;both;NA;estimats from figure 3: indec 203 quick peak at below 2 then below 1 and a peak below 3 in dec 2008 and peak below 4 in dec 2009. but is for both species;all ages;NA;yes, several villages;no or not mentioned;11;FALSCH;none found;7.793452;37.255541;observational;2.113;7.443;low;low;low;;low;low;low;
Sena, Lelisa D.;46;78;Ethiopia, gilgel gibe hydroelectric dam;950;Analysis of trend of malaria prevalence in south-west Ethiopia: a retrospective comparative study;2014;WAHR;WAHR;cases reported at local primary health care units;missing;2354;4051;;;;;;;;;;;;;;doesn't say;;01.01.2008;around 50000 residents;31.12.2008;web plot digitizer, have a lake there because of dam;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;increased case management: health posts with health extension workers, village level;LLIN distribution (first);LLIN 2nd round(replacing of old nets);;;;;;;missing;missing;missing;;;;;;;01.01.2005;01.01.2005;01.01.2005;31.12.2005;01.01.2009;31.12.2009;;;;;;;;;;;;;FALSCH;;did IRS with a change in 2010 to deltamethrin or bendiocarb;Pv: Chloroquine, Pf: SP and in 2004 shift to AL;;long;7;;0.6;both;NA;estimats from figure 3: indec 203 quick peak at below 2 then below 1 and a peak below 3 in dec 2008 and peak below 4 in dec 2009. but is for both species;all ages;NA;yes, several villages;no or not mentioned;11;FALSCH;none found;7.793452;37.255541;observational;1.864;4.623;low;low;low;;low;low;low;
Sena, Lelisa D.;46;78;Ethiopia, gilgel gibe hydroelectric dam;951;Analysis of trend of malaria prevalence in south-west Ethiopia: a retrospective comparative study;2014;WAHR;WAHR;cases reported at local primary health care units;missing;1844;5651;;;;;;;;;;;;;;doesn't say;;01.01.2009;around 50000 residents;31.12.2009;web plot digitizer, have a lake there because of dam;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;increased case management: health posts with health extension workers, village level;LLIN distribution (first);LLIN 2nd round(replacing of old nets);;;;;;;missing;missing;missing;;;;;;;01.01.2005;01.01.2005;01.01.2005;31.12.2005;01.01.2009;31.12.2009;;;;;;;;;;;;;FALSCH;;did IRS with a change in 2010 to deltamethrin or bendiocarb;Pv: Chloroquine, Pf: SP and in 2004 shift to AL;;long;7;;0.6;both;NA;estimats from figure 3: indec 203 quick peak at below 2 then below 1 and a peak below 3 in dec 2008 and peak below 4 in dec 2009. but is for both species;all ages;NA;yes, several villages;no or not mentioned;11;FALSCH;none found;7.793452;37.255541;observational;1.846;4.686;low;low;low;;low;low;low;
Sena, Lelisa D.;46;78;Ethiopia, gilgel gibe hydroelectric dam;952;Analysis of trend of malaria prevalence in south-west Ethiopia: a retrospective comparative study;2014;WAHR;WAHR;cases reported at local primary health care units;missing;1764;2297;;;;;;;;;;;;;;doesn't say;;01.01.2010;around 50000 residents;31.12.2010;web plot digitizer, have a lake there because of dam;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;increased case management: health posts with health extension workers, village level;LLIN distribution (first);LLIN 2nd round(replacing of old nets);;;;;;;missing;missing;missing;;;;;;;01.01.2005;01.01.2005;01.01.2005;31.12.2005;01.01.2009;31.12.2009;;;;;;;;;;;;;FALSCH;;did IRS with a change in 2010 to deltamethrin or bendiocarb;Pv: Chloroquine, Pf: SP and in 2004 shift to AL;;long;7;;0.6;both;NA;estimats from figure 3: indec 203 quick peak at below 2 then below 1 and a peak below 3 in dec 2008 and peak below 4 in dec 2009. but is for both species;all ages;NA;yes, several villages;no or not mentioned;11;FALSCH;none found;7.793452;37.255541;observational;2.116;5.39;low;low;low;;low;low;low;
Sena, Lelisa D.;46;78;Ethiopia, gilgel gibe hydroelectric dam;953;Analysis of trend of malaria prevalence in south-west Ethiopia: a retrospective comparative study;2014;WAHR;WAHR;cases reported at local primary health care units;missing;364;731;;;;;;;;;;;;;;doesn't say;;01.01.2011;around 50000 residents;31.08.2011;web plot digitizer, have a lake there because of dam;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;increased case management: health posts with health extension workers, village level;LLIN distribution (first);LLIN 2nd round(replacing of old nets);;;;;;;missing;missing;missing;;;;;;;01.01.2005;01.01.2005;01.01.2005;31.12.2005;01.01.2009;31.12.2009;;;;;;;;;;;;;FALSCH;;did IRS with a change in 2010 to deltamethrin or bendiocarb;Pv: Chloroquine, Pf: SP and in 2004 shift to AL;;long;7;;0.6;both;NA;estimats from figure 3: indec 203 quick peak at below 2 then below 1 and a peak below 3 in dec 2008 and peak below 4 in dec 2009. but is for both species;all ages;NA;yes, several villages;no or not mentioned;11;FALSCH;none found;7.793452;37.255541;observational;2.494;6.191;low;low;low;;low;low;low;
Sena, Lelisa D.;46;79;Ethiopia, gilgel gibe hydroelectric dam, control area;954;Analysis of trend of malaria prevalence in south-west Ethiopia: a retrospective comparative study;2014;WAHR;WAHR;cases reported at local primary health care units;missing;548;1878;;;;;;;;;;;;;;doesn't say;;01.09.2003;around 50000 residents;31.12.2003;web plot digitizer, have a lake there because of dam, this is contorl area: further away from dam;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;increased case management: health posts with health extension workers, village level;LLIN distribution (first);LLIN 2nd round(replacing of old nets);;;;;;;missing;missing;missing;;;;;;;01.01.2005;01.01.2005;01.01.2005;31.12.2005;01.01.2009;31.12.2009;;;;;;;;;;;;;FALSCH;;did IRS with a change in 2010 to deltamethrin or bendiocarb;Pv: Chloroquine, Pf: SP and in 2004 shift to AL;;long;7;;0.6;dry;NA;estimates from figure 3: tends to be below 4 but some peaks in end of 2004 and beginning fo 2005 that is around 4%, in end of 2007 alsmost up to six and end of 2009 between 4 and 5;all ages;NA;yes, several villages;no or not mentioned;9;FALSCH;none found;7.793452;37.255541;observational;2.27;11.06;low;low;low;;low;low;low;
Sena, Lelisa D.;46;79;Ethiopia, gilgel gibe hydroelectric dam, control area;955;Analysis of trend of malaria prevalence in south-west Ethiopia: a retrospective comparative study;2014;WAHR;WAHR;cases reported at local primary health care units;missing;2010;3340;;;;;;;;;;;;;;doesn't say;;01.01.2004;around 50000 residents;31.12.2004;web plot digitizer, have a lake there because of dam, this is contorl area: further away from dam;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;increased case management: health posts with health extension workers, village level;LLIN distribution (first);LLIN 2nd round(replacing of old nets);;;;;;;missing;missing;missing;;;;;;;01.01.2005;01.01.2005;01.01.2005;31.12.2005;01.01.2009;31.12.2009;;;;;;;;;;;;;FALSCH;;did IRS with a change in 2010 to deltamethrin or bendiocarb;Pv: Chloroquine, Pf: SP and in 2004 shift to AL;;long;7;;0.6;both;NA;estimates from figure 3: tends to be below 4 but some peaks in end of 2004 and beginning fo 2005 that is around 4%, in end of 2007 alsmost up to six and end of 2009 between 4 and 5;all ages;NA;yes, several villages;no or not mentioned;9;FALSCH;none found;7.793452;37.255541;observational;2.449;14.06;low;low;low;;low;low;low;
Sena, Lelisa D.;46;79;Ethiopia, gilgel gibe hydroelectric dam, control area;956;Analysis of trend of malaria prevalence in south-west Ethiopia: a retrospective comparative study;2014;WAHR;WAHR;cases reported at local primary health care units;missing;5490;6821;;;;;;;;;;;;;;doesn't say;;01.01.2005;around 50000 residents;31.12.2005;web plot digitizer, have a lake there because of dam, this is contorl area: further away from dam;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;increased case management: health posts with health extension workers, village level;LLIN distribution (first);LLIN 2nd round(replacing of old nets);;;;;;;missing;missing;missing;;;;;;;01.01.2005;01.01.2005;01.01.2005;31.12.2005;01.01.2009;31.12.2009;;;;;;;;;;;;;FALSCH;;did IRS with a change in 2010 to deltamethrin or bendiocarb;Pv: Chloroquine, Pf: SP and in 2004 shift to AL;;long;7;;0.6;both;NA;estimates from figure 3: tends to be below 4 but some peaks in end of 2004 and beginning fo 2005 that is around 4%, in end of 2007 alsmost up to six and end of 2009 between 4 and 5;all ages;NA;yes, several villages;no or not mentioned;9;FALSCH;none found;7.793452;37.255541;observational;2.114;11.676;low;low;low;;low;low;low;
Sena, Lelisa D.;46;79;Ethiopia, gilgel gibe hydroelectric dam, control area;957;Analysis of trend of malaria prevalence in south-west Ethiopia: a retrospective comparative study;2014;WAHR;WAHR;cases reported at local primary health care units;missing;1861;2686;;;;;;;;;;;;;;doesn't say;;01.01.2006;around 50000 residents;31.12.2006;web plot digitizer, have a lake there because of dam, this is contorl area: further away from dam;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;increased case management: health posts with health extension workers, village level;LLIN distribution (first);LLIN 2nd round(replacing of old nets);;;;;;;missing;missing;missing;;;;;;;01.01.2005;01.01.2005;01.01.2005;31.12.2005;01.01.2009;31.12.2009;;;;;;;;;;;;;FALSCH;;did IRS with a change in 2010 to deltamethrin or bendiocarb;Pv: Chloroquine, Pf: SP and in 2004 shift to AL;;long;7;;0.6;both;NA;estimates from figure 3: tends to be below 4 but some peaks in end of 2004 and beginning fo 2005 that is around 4%, in end of 2007 alsmost up to six and end of 2009 between 4 and 5;all ages;NA;yes, several villages;no or not mentioned;9;FALSCH;none found;7.793452;37.255541;observational;2.152;10.277;low;low;low;;low;low;low;
Sena, Lelisa D.;46;79;Ethiopia, gilgel gibe hydroelectric dam, control area;958;Analysis of trend of malaria prevalence in south-west Ethiopia: a retrospective comparative study;2014;WAHR;WAHR;cases reported at local primary health care units;missing;4515;5341;;;;;;;;;;;;;;doesn't say;;01.01.2007;around 50000 residents;31.12.2007;web plot digitizer, have a lake there because of dam, this is contorl area: further away from dam;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;increased case management: health posts with health extension workers, village level;LLIN distribution (first);LLIN 2nd round(replacing of old nets);;;;;;;missing;missing;missing;;;;;;;01.01.2005;01.01.2005;01.01.2005;31.12.2005;01.01.2009;31.12.2009;;;;;;;;;;;;;FALSCH;;did IRS with a change in 2010 to deltamethrin or bendiocarb;Pv: Chloroquine, Pf: SP and in 2004 shift to AL;;long;7;;0.6;both;NA;estimates from figure 3: tends to be below 4 but some peaks in end of 2004 and beginning fo 2005 that is around 4%, in end of 2007 alsmost up to six and end of 2009 between 4 and 5;all ages;NA;yes, several villages;no or not mentioned;9;FALSCH;none found;7.793452;37.255541;observational;2.113;7.443;low;low;low;;low;low;low;
Sena, Lelisa D.;46;79;Ethiopia, gilgel gibe hydroelectric dam, control area;959;Analysis of trend of malaria prevalence in south-west Ethiopia: a retrospective comparative study;2014;WAHR;WAHR;cases reported at local primary health care units;missing;6757;6666;;;;;;;;;;;;;;doesn't say;;01.01.2008;around 50000 residents;31.12.2008;web plot digitizer, have a lake there because of dam, this is contorl area: further away from dam;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;increased case management: health posts with health extension workers, village level;LLIN distribution (first);LLIN 2nd round(replacing of old nets);;;;;;;missing;missing;missing;;;;;;;01.01.2005;01.01.2005;01.01.2005;31.12.2005;01.01.2009;31.12.2009;;;;;;;;;;;;;FALSCH;;did IRS with a change in 2010 to deltamethrin or bendiocarb;Pv: Chloroquine, Pf: SP and in 2004 shift to AL;;long;7;;0.6;both;NA;estimates from figure 3: tends to be below 4 but some peaks in end of 2004 and beginning fo 2005 that is around 4%, in end of 2007 alsmost up to six and end of 2009 between 4 and 5;all ages;NA;yes, several villages;no or not mentioned;9;FALSCH;none found;7.793452;37.255541;observational;1.864;4.623;low;low;low;;low;low;low;
Sena, Lelisa D.;46;79;Ethiopia, gilgel gibe hydroelectric dam, control area;960;Analysis of trend of malaria prevalence in south-west Ethiopia: a retrospective comparative study;2014;WAHR;WAHR;cases reported at local primary health care units;missing;4458;5284;;;;;;;;;;;;;;doesn't say;;01.01.2009;around 50000 residents;31.12.2009;web plot digitizer, have a lake there because of dam, this is contorl area: further away from dam;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;increased case management: health posts with health extension workers, village level;LLIN distribution (first);LLIN 2nd round(replacing of old nets);;;;;;;missing;missing;missing;;;;;;;01.01.2005;01.01.2005;01.01.2005;31.12.2005;01.01.2009;31.12.2009;;;;;;;;;;;;;FALSCH;;did IRS with a change in 2010 to deltamethrin or bendiocarb;Pv: Chloroquine, Pf: SP and in 2004 shift to AL;;long;7;;0.6;both;NA;estimates from figure 3: tends to be below 4 but some peaks in end of 2004 and beginning fo 2005 that is around 4%, in end of 2007 alsmost up to six and end of 2009 between 4 and 5;all ages;NA;yes, several villages;no or not mentioned;9;FALSCH;none found;7.793452;37.255541;observational;1.846;4.686;low;low;low;;low;low;low;
Sena, Lelisa D.;46;79;Ethiopia, gilgel gibe hydroelectric dam, control area;961;Analysis of trend of malaria prevalence in south-west Ethiopia: a retrospective comparative study;2014;WAHR;WAHR;cases reported at local primary health care units;missing;6471;6012;;;;;;;;;;;;;;doesn't say;;01.01.2010;around 50000 residents;31.12.2010;web plot digitizer, have a lake there because of dam, this is contorl area: further away from dam;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;increased case management: health posts with health extension workers, village level;LLIN distribution (first);LLIN 2nd round(replacing of old nets);;;;;;;missing;missing;missing;;;;;;;01.01.2005;01.01.2005;01.01.2005;31.12.2005;01.01.2009;31.12.2009;;;;;;;;;;;;;FALSCH;;did IRS with a change in 2010 to deltamethrin or bendiocarb;Pv: Chloroquine, Pf: SP and in 2004 shift to AL;;long;7;;0.6;both;NA;estimates from figure 3: tends to be below 4 but some peaks in end of 2004 and beginning fo 2005 that is around 4%, in end of 2007 alsmost up to six and end of 2009 between 4 and 5;all ages;NA;yes, several villages;no or not mentioned;9;FALSCH;none found;7.793452;37.255541;observational;2.116;5.39;low;low;low;;low;low;low;
Sena, Lelisa D.;46;79;Ethiopia, gilgel gibe hydroelectric dam, control area;962;Analysis of trend of malaria prevalence in south-west Ethiopia: a retrospective comparative study;2014;WAHR;WAHR;cases reported at local primary health care units;missing;43;0;;;;;;;;;;;;;;doesn't say;;01.01.2011;around 50000 residents;31.08.2011;web plot digitizer, have a lake there because of dam, this is contorl area: further away from dam;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;increased case management: health posts with health extension workers, village level;LLIN distribution (first);LLIN 2nd round(replacing of old nets);;;;;;;missing;missing;missing;;;;;;;01.01.2005;01.01.2005;01.01.2005;31.12.2005;01.01.2009;31.12.2009;;;;;;;;;;;;;FALSCH;;did IRS with a change in 2010 to deltamethrin or bendiocarb;Pv: Chloroquine, Pf: SP and in 2004 shift to AL;;long;7;;0.6;both;NA;estimates from figure 3: tends to be below 4 but some peaks in end of 2004 and beginning fo 2005 that is around 4%, in end of 2007 alsmost up to six and end of 2009 between 4 and 5;all ages;NA;yes, several villages;no or not mentioned;9;FALSCH;none found;7.793452;37.255541;observational;2.949;6.191;low;low;low;;low;low;low;
Hofmann, Natalie E.;49;89;Papua New Guinea, East Sepik Province, Maprik district;1204;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;45.00;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;11.09.2009;11.09.2009;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and placebo (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;dry;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;5.193;12.044;high;;;;high;;;
Hofmann, Natalie E.;49;89;Papua New Guinea, East Sepik Province, Maprik district;1205;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;1.00;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;02.10.2009;02.10.2009;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and placebo (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;wet;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;5.193;12.044;high;;;;high;;;
Hofmann, Natalie E.;49;89;Papua New Guinea, East Sepik Province, Maprik district;1206;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;5.00;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;16.10.2009;16.10.2009;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and placebo (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;wet;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;5.193;12.044;high;;;;high;;;
Hofmann, Natalie E.;49;89;Papua New Guinea, East Sepik Province, Maprik district;1207;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;21.00;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;30.10.2009;30.10.2009;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and placebo (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;wet;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;5.193;12.044;high;;;;high;;;
